Modelo,R2_log,RMSE_log,MAE_pesos,RMSE_pesos,MedAE_pesos,MAPE_%,MdAPE_%,Error_medio_pesos,Sobreestima_%,Dentro_500_%,Dentro_1000_%
Regresión Lineal,0.6162701566227426,0.407526437695563,940.1310483621761,1525.0598110214107,566.6206065858182,34.211282867907,24.822962637090452,-234.10335225325719,48.66870362287211,45.91881274552597,70.97337407245745
Random Forest,0.6568968103278774,0.3853500128305664,865.6444504707727,1373.0254108382605,532.4386718103542,32.12848791369369,23.215608797857772,-220.85271968894472,47.926669576604105,47.49017896115234,73.28677433435182
XGBoost,0.6753040204232312,0.3748706641317159,837.7937918987344,1335.5822518364262,504.51050000000055,30.781940767821883,22.449980000000007,-204.82773493670913,47.83937145351375,49.585333915320824,74.81449148843299
