Rango de renta real,Registros,Renta_media,Prediccion_media,MAE,Sesgo_medio,Dentro_1000_%
"<= $1,000",257,845.6809338521401,1364.7676907782102,543.2091430739299,519.08675692607,87.93774319066148
"$1,001-$2,000",813,1666.420664206642,1890.2636484132843,447.3275914391145,223.84298420664223,91.88191881918819
"$2,001-$3,000",544,2676.8382352941176,2579.650845900735,620.6501434375,-97.18738939338243,82.16911764705883
"$3,001-$5,000",340,3893.823529411765,3464.8617729411762,945.945564117647,-428.9617564705881,62.05882352941177
"$5,001-$8,000",213,5893.36150234742,5014.504786384978,1584.2252549295786,-878.8567159624436,31.92488262910798
"$8,001-$16,000",119,10292.436974789916,7235.810103361344,3230.3393134453795,-3056.6268714285734,12.605042016806722
