folioviv,tenencia,renta,ubica_geo,tam_loc,est_socio,tipo_viv,mat_pared,mat_techos,mat_pisos,antiguedad,cocina,cuart_dorm,num_cuarto,lugar_coc,agua_ent,ab_agua,dotac_agua,excusado,uso_compar,sanit_agua,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,focos,combus,eli_basura,lavadero,fregadero,regadera,tinaco_azo,cisterna,pileta,calent_sol,calent_gas,medid_luz,bomba_agua,tanque_gas,aire_acond,calefacc,p_grietas,p_pandeos,p_levanta,p_humedad,p_fractura,p_electric,p_tuberias,antiguedad_no_especificada
100006402,3,0,1001,1,4,1,8,10,3,12.0,1,3,4,1,1,1,1,1,2,1,1,0,0,1,1,8,3,3,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0
100006403,4,0,1001,1,4,1,8,10,3,12.0,1,3,5,1,1,1,2,1,2,1,2,0,0,1,1,16,3,3,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0
100006404,3,0,1001,1,4,1,8,10,3,12.0,1,3,6,1,1,1,1,1,2,1,1,1,0,1,1,12,4,3,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0
100006405,3,0,1001,1,4,1,8,10,3,17.0,1,2,3,1,1,1,2,1,2,1,2,0,0,1,1,8,3,3,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,0
100006406,4,0,1001,1,4,1,8,10,3,13.0,1,2,5,1,1,1,1,1,2,1,2,0,0,1,1,16,3,3,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,0
100007201,1,5000,1001,1,3,1,8,10,3,1.0,1,3,6,1,1,1,1,1,2,1,2,0,0,1,1,10,3,3,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0
100007202,2,0,1001,1,3,1,8,10,3,34.0,1,2,5,1,1,1,1,1,2,1,2,0,0,1,1,14,3,3,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,0
100007203,4,0,1001,1,3,1,8,10,3,1.0,1,3,5,1,1,1,1,1,2,1,2,0,0,1,1,30,3,3,1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,0
100007204,4,0,1001,1,3,1,8,10,3,1.0,1,4,6,1,1,1,1,1,2,1,2,0,0,1,1,18,3,3,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,0
100007205,4,0,1001,1,3,1,8,10,3,34.0,1,2,4,1,1,1,1,1,2,1,1,0,0,1,1,5,3,3,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,0
100007206,4,0,1001,1,3,1,8,10,3,1.0,1,3,6,1,1,1,1,1,2,1,3,0,0,1,1,12,3,3,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,0
100008401,4,0,1001,1,3,1,8,10,3,40.0,1,2,3,1,1,1,1,1,2,1,1,0,0,1,1,8,3,3,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0
100008402,3,0,1001,1,3,1,8,10,3,30.0,1,2,3,1,1,1,1,1,2,1,1,0,0,1,1,8,3,3,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0
100008403,4,0,1001,1,3,1,8,10,3,32.0,1,2,3,1,1,1,1,1,2,1,1,0,0,1,1,10,3,3,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,0
100008404,3,0,1001,1,3,1,8,10,3,10.0,1,1,2,1,1,1,1,1,2,1,1,0,0,1,1,6,3,3,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0
100008405,4,0,1001,1,3,1,8,10,3,35.0,1,3,5,1,1,1,1,1,2,1,1,1,0,1,1,18,3,3,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,0
100008406,4,0,1001,1,3,1,8,10,2,40.0,1,2,4,1,1,1,1,1,2,1,1,0,0,1,1,4,3,3,1,1,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,0
100009601,2,0,1001,1,3,1,8,10,2,35.0,1,2,3,1,1,1,2,1,2,1,1,0,0,1,1,8,4,3,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0
100009602,2,0,1001,1,3,1,8,10,3,32.0,1,2,3,1,1,1,1,1,2,1,1,0,0,1,1,7,3,3,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0
100009603,1,4000,1001,1,3,1,8,10,3,35.0,1,2,4,1,1,1,1,1,2,1,2,0,0,1,1,10,3,3,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,0
100009604,4,0,1001,1,3,1,8,10,3,30.0,1,4,5,1,1,1,1,1,2,1,1,0,0,1,1,9,3,3,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,0
100009605,4,0,1001,1,3,1,8,10,3,25.0,1,2,3,1,1,1,1,1,2,1,1,0,0,1,1,6,3,3,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0
100009606,1,4000,1001,1,3,1,8,10,3,30.0,1,3,4,1,1,1,1,1,2,1,2,0,0,1,1,12,3,3,1,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,0
100010901,1,4000,1001,1,2,1,8,10,3,-1.0,1,3,4,1,1,1,2,1,1,1,1,0,0,1,1,6,3,3,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1
100010902,1,1500,1001,1,2,1,8,10,3,20.0,1,2,3,1,1,1,2,1,2,1,1,0,0,1,1,7,3,3,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0
100010903,4,0,1001,1,2,1,8,10,3,23.0,1,3,7,1,1,1,1,1,2,1,2,0,0,1,1,9,3,3,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,0
100010904,1,2000,1001,1,2,1,8,10,3,23.0,1,2,3,1,1,1,1,1,2,1,1,0,0,1,1,4,3,3,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,0
100010905,4,0,1001,1,2,1,8,10,3,23.0,1,3,5,1,1,1,1,1,2,1,1,0,0,1,1,8,3,3,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,0
