ID,renta_real,pred_lineal_pesos,pred_rf_pesos,pred_xgb_pesos,pred_lineal_log,pred_rf_log,pred_xgb_log,renta_real_log
Hogar_1,1499.9999999999995,1525.880497143147,1557.1966562230282,1529.1919,7.330982042263009,7.351284441971614,7.3331485,7.313886831633462
Hogar_2,8299.999999999993,3717.2181548848243,6183.771897056955,5645.5156,8.22099984189218,8.729845404123376,8.638794,9.024131268455035
Hogar_3,4000.0000000000014,2190.630535383566,2317.630046685027,2426.706,7.692401082485416,7.748731793129746,7.794702,8.294299608857235
Hogar_4,1499.9999999999995,1282.4054711335802,1235.6730387431683,1314.8889,7.1572723483068454,7.120180019542604,7.1822677,7.313886831633462
Hogar_5,800.0000000000003,1990.304907054988,1817.5207121552526,1466.083,7.5965454350085615,7.5057786540543745,7.2910314,6.68586094706836
Hogar_6,2000.0,3511.5776948318535,4957.222613955782,5066.5947,8.164105432922451,8.508802611537906,8.530622,7.601402334583733
Hogar_7,2000.0,2971.2882945524034,2354.356478189008,2791.1694,7.997087404683716,7.764447365776013,7.934574,7.601402334583733
Hogar_8,4000.0000000000014,5778.744218609,6541.571804846379,6514.9307,8.662114707851424,8.786085609482994,8.782005,8.294299608857235
Hogar_9,1800.0,2021.2588409419045,2195.9328864073404,2044.7776,7.611970403722801,7.694817524083396,7.6235332,7.496097345175956
Hogar_10,1499.9999999999995,3009.198722802389,2880.939395969607,2712.8218,8.009761376428221,7.966218747875357,7.906113,7.313886831633462
Hogar_11,2500.0000000000005,4492.198058705302,2884.190099093246,4487.57,8.410319989715621,7.967346069004763,8.409289,7.824445930877619
Hogar_12,600.0,1285.1970020496447,971.040415906524,1180.2584,7.159445082839428,6.8793973837467535,7.0743356,6.398594934535208
Hogar_13,3499.9999999999977,2227.092014091071,2363.502604949376,2720.692,7.708900899158072,7.768322963774749,7.909009,8.160803920954665
Hogar_14,2500.0000000000005,1597.4477861246698,1550.051952405752,1661.4728,7.376788303671549,7.34668865868632,7.4160614,7.824445930877619
Hogar_15,6000.000000000005,6550.371531263777,6592.73398112014,6147.9062,8.787429700795489,8.793875080251945,8.72403,8.699681400989514
Hogar_16,6999.999999999998,5560.311538659469,7772.002583956488,7603.5312,8.623589247675476,8.958411801657347,8.9365,8.853808274977197
Hogar_17,1800.0,2175.177668164658,1977.8452800756977,1979.7576,7.685325253615466,7.590268761685089,7.5912347,7.496097345175956
Hogar_18,2000.0,1912.6882895986719,2136.8015566629456,1950.686,7.556787700651162,7.667533270000749,7.576449,7.601402334583733
Hogar_19,4499.999999999999,3647.755035065106,4161.701407312357,3217.4478,8.202141302109847,8.333919519259235,8.076654,8.412054873292933
Hogar_20,2500.0000000000005,2944.8010125235896,2480.909605408181,2651.2976,7.98813604977308,7.816783545040158,7.8831816,7.824445930877619
Hogar_21,4000.0000000000014,2836.089966243762,4186.330009599543,3743.0864,7.950534146059221,8.339818580586837,8.227933,8.294299608857235
Hogar_22,4000.0000000000014,3560.2797521222406,4542.205586975485,3917.7017,8.1778752401815,8.421388118307027,8.273516,8.294299608857235
Hogar_23,499.9999999999999,1328.7101435745783,1014.1355189706137,1018.2348,7.192716260302074,6.922777398790595,6.9268074,6.2166061010848646
Hogar_24,4000.0000000000014,3573.1615061876687,3326.456610353222,3289.3247,8.181485883894698,8.109963510470717,8.098742,8.294299608857235
Hogar_25,2500.0000000000005,2509.104714261399,2552.0844211460917,2774.0376,7.828079750084866,7.8450574841237115,7.9284196,7.824445930877619
Hogar_26,1499.9999999999995,1729.5847548732204,1678.5354741268147,1424.1707,7.456214638977025,7.426272530667221,7.262047,7.313886831633462
Hogar_27,999.9999999999999,1321.0479440381507,1102.8757843687931,1082.9366,7.186937286046121,7.006582706348146,6.9883547,6.90875477931522
Hogar_28,1499.9999999999995,2694.607351297094,2835.963952895892,2959.1445,7.89937882021521,7.950489728663938,7.9929934,7.313886831633462
Hogar_29,2000.0,1714.487757720648,1816.3226034566055,1778.2688,7.44745272599828,7.505119599943396,7.483958,7.601402334583733
Hogar_30,6999.999999999998,3377.744716603998,2598.244429835303,3256.7432,8.125259533876227,7.862976077866576,8.08879,8.853808274977197
Hogar_31,4000.0000000000014,3025.7248068186323,2739.9518578882817,2800.3926,8.015236392044043,7.916060532444887,7.937872,8.294299608857235
Hogar_32,1800.0,3342.3760212609554,2970.2400128352883,3029.1719,8.114736360280425,7.996734657401708,8.016375,7.496097345175956
Hogar_33,2000.0,2285.8095183266028,2387.843219272379,2488.7966,7.734912901671954,7.778564519082905,7.8199563,7.601402334583733
Hogar_34,2999.9999999999995,2832.661922478176,2549.6440575529714,2640.5981,7.949325119725348,7.844101177851038,7.8791394,8.006700845440367
Hogar_35,5000.000000000003,2599.447815825276,2864.1589899341443,2696.001,7.8634389460343845,7.960379121477923,7.8998957,8.517393171418904
Hogar_36,700.0,654.8550605288175,1011.3886294034199,988.5419,6.485939820216471,6.920067797279786,6.897242,6.55250788703459
Hogar_37,3499.9999999999977,2998.10336312756,3340.1428620302536,3102.9272,8.00606864401955,8.11406820170304,8.040423,8.160803920954665
Hogar_38,3499.9999999999977,1645.25063068607,1898.1115590398201,1799.098,7.406255636162092,7.549141455289965,7.4955964,8.160803920954665
Hogar_39,1700.0,8000.68223853262,5607.764058347648,6488.2217,8.987407078372849,8.632085663789864,8.777898,7.438971592395862
Hogar_40,999.9999999999999,1013.5669205495484,1048.0689356361697,1122.1403,6.922217121160862,6.955658321810212,7.023884,6.90875477931522
Hogar_41,3499.9999999999977,2338.813967043346,2463.29077499354,2130.748,7.757826703927827,7.809659327022651,7.6646976,8.160803920954665
Hogar_42,999.9999999999999,1560.0989906724908,1576.4043528512655,1566.3932,7.353145333413498,7.363535960470204,7.357169,6.90875477931522
